"","Name","Type","Cat.","Power","Acc.","PP","Effect"
"1","Apple Acid","Grass","","80","100","10","Lowers target's Special Defense."
"2","Astral Barrage","Ghost","","120","100","5","The user attacks by sending a frightful amount of small ghosts at opposing Pokémon."
"3","Aura Wheel","Electric","","110","100","10","Changes type based on Morpeko's Mode."
"4","Barb Barrage","Poison","","60","100","15",""
"5","Behemoth Bash","Steel","","100","100","5","Damage doubles if target is Dynamaxed."
"6","Behemoth Blade","Steel","","100","100","5","Damage doubles if target is Dynamaxed."
"7","Bitter Malice","Ghost","","60","100","15",""
"8","Bleakwind Storm","Ice","","95","80","5",""
"9","Body Press","Fighting","","80","100","10","The higher the user's Defense, the stronger the attack."
"10","Bolt Beak","Electric","","85","100","10","If the user attacks before the target, the power of this move is doubled."
"11","Branch Poke","Grass","","40","100","40",""
"12","Breaking Swipe","Dragon","","60","100","15","Hits multiple opponents and lowers their attack."
"13","Burning Jealousy","Fire","","70","100","5","Hits all opponents, and burns any that have had their stats boosted."
"14","Ceaseless Edge","Dark","","65","90","15",""
"15","Chloroblast","Grass","","120","95","5",""
"16","Clangorous Soul","Dragon","","—","100","5","Raises all user's stats but loses HP."
"17","Coaching","Fighting","","—","—","10","Boosts Attack and Defense of a teammate."
"18","Corrosive Gas","Poison","","—","100","40","Removes opponent's items."
"19","Court Change","Normal","","—","100","10","Swaps the effects on either side of the field."
"20","Decorate","Fairy","","—","—","15","Sharply raises target's Attack and Special Attack."
"21","Dire Claw","","","60","100","15",""
"22","Dragon Darts","Dragon","","50","100","10","User attacks twice."
"23","Dragon Energy","Dragon","","150","100","5","The higher the user's HP, the higher the power."
"24","Drum Beating","Grass","","80","100","10","Lowers opponent's Speed."
"25","Dual Wingbeat","Flying","","40","90","10","The user slams the target with its wings. The target is hit twice in a row."
"26","Dynamax Cannon","Dragon","","100","100","5","Damage doubles if opponent is Dynamaxed."
"27","Eerie Spell","Psychic","","80","100","5","Deals damage and reduces opponent's PP."
"28","Esper Wing","","","75","90","10",""
"29","Eternabeam","Dragon","","160","90","5","User can't move on the next turn."
"30","Expanding Force","Psychic","","80","100","10","Increases power and hits all opponents on Psychic Terrain."
"31","False Surrender","Dark","","80","8","10","Ignores Accuracy and Evasiveness."
"32","Fiery Wrath","Dark","","90","100","10","May cause flinching."
"33","Fishious Rend","Water","","85","100","10","If the user attacks before the target, the power of this move is doubled."
"34","Flip Turn","Water","","60","100","20","After making its attack, the user rushes back to switch places with a party Pokémon in waiting."
"35","Freezing Glare","Psychic","","90","100","10","May freeze opponent."
"36","G-Max Befuddle","Bug","—","—","8","5","Butterfree-exclusive G-Max Move. Poisons, paralyzes, or puts opponent to sleep."
"37","G-Max Cannonade","Water","—","—","8","10","Blastoise-exclusive G-Max Move. Damages non-Water types for 4 turns."
"38","G-Max Centiferno","Fire","—","—","8","5","Centiskorch-exclusive G-Max Move. Traps opponents for 4-5 turns."
"39","G-Max Chi Strike","Fighting","—","—","8","5","Machamp-exclusive G-Max Move. Increases critical hit ratio."
"40","G-Max Cuddle","Normal","—","—","8","5","Eevee-exclusive G-Max Move. Infatuates opponents."
"41","G-Max Depletion","Dragon","—","—","8","5","Duraludon-exclusive G-Max Move. Reduces opponent's PP."
"42","G-Max Drum Solo","Grass","—","—","8","5","Rillaboom-exclusive G-Max Move. Ignores target's ability."
"43","G-Max Finale","Fairy","—","—","8","5","Alcremie-exclusive G-Max Move. Heals the user's team."
"44","G-Max Fireball","Fire","—","—","8","5","Cinderace-exclusive G-Max Move. Ignores target's ability."
"45","G-Max Foam Burst","Water","—","—","8","5","Kingler-exclusive G-Max Move. Harshly lowers opponents' Speed."
"46","G-Max Gold Rush","Normal","—","—","8","5","Meowth-exclusive G-Max Move. Confuses opponents and earns more money."
"47","G-Max Gravitas","Psychic","—","—","8","5","Orbeetle-exclusive G-Max Move. Summons Gravity for 5 turns."
"48","G-Max Hydrosnipe","Water","—","—","8","5","Inteleon-exclusive G-Max Move. Ignores target's ability."
"49","G-Max Malodor","Poison","—","—","8","5","Garbodor-exclusive G-Max Move. Poisons opponents."
"50","G-Max Meltdown","Steel","—","—","8","5","Melmetal-exclusive G-Max Move. Prevents opponents using the same move twice in a row."
"51","G-Max One Blow","Dark","—","—","8","5","Urshifu Single-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect."
"52","G-Max Rapid Flow","Water","—","—","8","5","Urshifu Rapid-Strike Style-exclusive G-Max Move. Strikes through Max Guard and Protect."
"53","G-Max Replenish","Normal","—","—","8","5","Snorlax-exclusive G-Max Move. Recycles Berries."
"54","G-Max Resonance","Ice","—","—","8","5","Lapras-exclusive G-Max Move. Reduces damage for 5 turns."
"55","G-Max Sandblast","Ground","—","—","8","5","Sandaconda-exclusive G-Max Move. Traps opponents for 4-5 turns."
"56","G-Max Smite","Fairy","—","—","8","5","Hatterene-exclusive G-Max Move. Confuses opponents."
"57","G-Max Snooze","Dark","—","—","8","5","Grimmsnarl-exclusive G-Max Move. Makes opponents drowsy."
"58","G-Max Steelsurge","Steel","—","—","8","5","Copperajah-exclusive G-Max Move. Sets up Spikes on the field."
"59","G-Max Stonesurge","Water","—","—","8","5","Drednaw-exclusive G-Max Move. Sets up Stealth Rock."
"60","G-Max Stun Shock","Electric","—","—","8","10","Toxtricity-exclusive G-Max Move. Poisons or paralyzes opponents."
"61","G-Max Sweetness","Grass","—","—","8","10","Appletun-exclusive G-Max Move. Heals status conditions of user's team."
"62","G-Max Tartness","Grass","—","—","8","10","Flapple-exclusive G-Max Move. Reduces opponents' evasiveness."
"63","G-Max Terror","Ghost","—","—","8","10","Gengar-exclusive G-Max Move. Prevents opponent from switching out."
"64","G-Max Vine Lash","Grass","—","—","8","10","Venusaur-exclusive G-Max Move. Damages non-Grass types for 4 turns."
"65","G-Max Volcalith","Rock","—","—","8","10","Coalossal-exclusive G-Max Move. Deals damage for 4 turns."
"66","G-Max Volt Crash","Electric","—","—","8","10","Pikachu-exclusive G-Max Move. Paralyzes opponents."
"67","G-Max Wildfire","Fire","—","—","8","10","Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns."
"68","G-Max Wind Rage","Flying","—","—","8","10","Corviknight-exclusive G-Max Move. Removes battlefield hazards."
