"","Name","Type","Cat.","PP","Att.","Acc.","Effect","move_type"
"1","Accelerock","","","20","40","100","The user smashes into the target at high speed. This move always goes first.","physical"
"2","Acid Downpour","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"3","Acrobatics","","","15","55","100","The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage.","physical"
"4","Aerial Ace","","","20","60","101","The user confounds the target with speed, then slashes. This attack never misses.","physical"
"5","All-Out Pummeling","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"6","Anchor Shot","","","20","80","100","The user entangles the target with its anchor chain while attacking. The target becomes unable to flee.","physical"
"7","Aqua Jet","","","20","40","100","The user lunges at the target at a speed that makes it almost invisible. This move always goes first.","physical"
"8","Aqua Tail","","","10","90","90","The user attacks by swinging its tail as if it were a vicious wave in a raging storm.","physical"
"9","Arm Thrust","","","20","15","100","The user lets loose a flurry of open-palmed arm thrusts that hit two to five times in a row.","physical"
"10","Assurance","","","10","60","100","If the target has already taken some damage in the same turn, this attack's power is doubled.","physical"
"11","Astonish","","","15","30","100","The user attacks the target while shouting in a startling fashion. This may also make the target flinch.","physical"
"12","Attack Order","","","15","90","100","The user calls out its underlings to pummel the target. Critical hits land more easily.","physical"
"13","Aura Wheel","","","10","110","100","Morpeko attacks and raises its Speed with the energy stored in its cheeks. This move's type changes depending on the user's form.","physical"
"14","Avalanche","","","10","60","100","The power of this attack move is doubled if the user has been hurt by the target in the same turn.","physical"
"15","Barb Barrage","","","15","60","100","The user launches countless toxic barbs to inflict damage. This may also poison the target. This moveâ<U+0080><U+0099>s power is doubled if the target has a status condition.","physical"
"16","Barrage","","","20","15","85","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"17","Beak Blast","","","15","100","100","The user first heats up its beak, and then it attacks the target. Making direct contact with the Pokémon while it's heating up its beak results in a burn.","physical"
"18","Beat Up","","","10","--","100","The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks.","physical"
"19","Behemoth Bash","","","5","100","100","The user becomes a gigantic shield and slams into the target. This move deals twice the damage if the target is Dynamaxed.","physical"
"20","Behemoth Blade","","","5","100","100","The user becomes a gigantic sword and cuts the target. This move deals twice the damage if the target is Dynamaxed.","physical"
"21","Bide","","","10","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"22","Bind","","","20","15","85","Things such as long bodies or tentacles are used to bind and squeeze the target for four to five turns.","physical"
"23","Bite","","","25","60","100","The target is bitten with viciously sharp fangs. This may also make the target flinch.","physical"
"24","Black Hole Eclipse","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"25","Blaze Kick","","","10","85","90","The user launches a kick that lands a critical hit more easily. This may also leave the target with a burn.","physical"
"26","Bloom Doom","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
